Target Gene,Target Gene (Entrez Gene ID),mir_target
MAGEA2,4101,1
NKRF,55922,1
VCL,7414,1
MTA2,9219,1
SEC11A,23478,1
BAMBI,25805,1
CLIC1,1192,1
ODC1,4953,1
DDOST,1650,1
EGR1,1958,1
TFG,10342,1
DDX3X,1654,1
WDR44,54521,0
LOXL2,4017,1
KIDINS220,57498,1
BARD1,580,1
RBL2,5934,1
RAB2A,5862,1
CUL3,8452,1
MAP3K1,4214,1
PERP,64065,1
SLC7A5,8140,1
PIK3R4,30849,1
CHIC2,26511,1
MFSD10,10227,1
C1D,10438,1
SEMA4D,10507,1
RABGAP1,23637,1
ABCA8,10351,1
ATP10D,57205,1
MSN,4478,1
ERLIN2,11160,1
GRIA1,2890,1
ATXN7,6314,1
RRM1,6240,1
ENTPD3,956,1
B3GALNT1,8706,1
ALCAM,214,1
STX7,8417,1
PTP4A3,11156,1
SETD4,54093,1
PDE2A,5138,1
AKAP9,10142,1
ENOSF1,55556,1
RANBP3,8498,1
GOLGA6A,342096,1
TAF4B,6875,1
RXRB,6257,1
HNRNPD,3184,1
MMP23A,8511,0
CPSF1,29894,1
DPH1,1801,1
RAB28,9364,1
DCBLD2,131566,1
AGR2,10551,1
MED16,10025,1
HMGN1,3150,1
PRKD2,25865,1
